,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC
0,mercedes,2023,20,0,7,1,5,2,1,382,2nd
1,mercedes,2022,22,1,17,2,6,1,1,515,3rd
2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st
3,mercedes,2020,17,13,25,15,9,1,1,573,1st
4,mercedes,2019,21,15,32,10,9,1,1,739,1st
5,mercedes,2018,21,11,25,13,10,1,1,655,1st
6,mercedes,2017,20,12,26,15,9,1,1,668,1st
7,mercedes,2016,21,19,33,20,9,1,1,765,1st
8,mercedes,2015,19,16,32,18,13,1,1,703,1st
9,mercedes,2014,19,16,31,18,12,1,1,701,1st
10,red-bull-racing,2023,20,19,27,13,10,1,1,782,1st
11,red-bull-racing,2022,22,17,28,8,8,1,1,759,1st
12,red-bull-racing,2021,22,11,23,10,8,1,1,585.5,2nd
13,red-bull-racing,2020,17,2,13,1,3,1,1,319,2nd
14,red-bull-racing,2019,21,3,9,2,5,1,1,417,3rd
15,red-bull-racing,2018,21,4,13,2,6,1,1,419,3rd
16,red-bull-racing,2017,20,3,13,0,2,1,2,368,3rd
17,red-bull-racing,2016,21,2,16,1,5,1,1,468,2nd
18,red-bull-racing,2015,19,0,3,0,3,2,2,187,4th
19,red-bull-racing,2014,19,3,12,0,3,1,2,405,2nd
20,williams,2023,20,0,0,0,0,7,4,28,7th
21,williams,2022,22,0,0,0,0,9,6,8,10th
22,williams,2021,22,0,1,0,0,2,2,23,8th
23,williams,2020,17,0,0,0,0,11,11,0,10th
24,williams,2019,21,0,0,0,0,10,14,1,10th
25,williams,2018,21,0,0,0,0,8,10,7,10th
26,williams,2017,20,0,1,0,0,3,2,83,5th
27,williams,2016,21,0,1,0,0,3,2,138,5th
28,williams,2015,19,0,4,0,0,3,3,257,3rd
29,williams,2014,19,0,9,1,2,2,1,320,3rd
30,ferrari-2,2023,20,1,7,6,0,1,1,362,3rd
31,ferrari-2,2022,22,4,20,12,5,1,1,554,2nd
32,ferrari-2,2021,22,0,5,2,0,2,1,323.5,3rd
33,ferrari-2,2020,17,0,3,0,0,2,4,131,6th
34,ferrari-2,2019,21,3,19,9,6,1,1,504,2nd
35,ferrari-2,2018,21,6,24,6,4,1,1,571,2nd
36,ferrari-2,2017,20,5,20,5,7,1,1,522,2nd
37,ferrari-2,2016,21,0,11,0,4,2,3,398,3rd
38,ferrari-2,2015,19,3,16,1,3,1,1,428,2nd
39,ferrari-2,2014,19,0,2,0,1,2,4,216,4th
40,mclaren,2023,20,0,9,0,2,2,2,282,4th
41,mclaren,2022,22,0,1,0,2,3,3,159,5th
42,mclaren,2021,22,1,5,1,2,1,1,275,4th
43,mclaren,2020,17,0,2,0,3,2,3,202,3rd
44,mclaren,2019,21,0,1,0,0,3,5,145,4th
45,mclaren,2018,21,0,0,0,0,5,7,62,6th
46,mclaren,2017,20,0,0,0,1,6,6,30,9th
47,mclaren,2016,21,0,0,0,1,5,3,76,6th
48,mclaren,2015,19,0,0,0,0,5,9,27,9th
49,mclaren,2014,19,0,2,0,0,2,3,181,5th
50,force-india,2018,12,0,1,0,0,3,6,52,7th
51,force-india,2017,20,0,0,0,1,4,3,187,4th
52,force-india,2016,21,0,2,0,1,3,2,173,4th
53,force-india,2015,19,0,1,0,0,3,4,136,5th
54,force-india,2014,19,0,1,0,1,3,4,155,6th
55,lotus-f1,2015,19,0,1,0,0,3,5,78,6th
56,lotus-f1,2014,19,0,0,0,0,8,5,10,8th
57,marussia,2015,18,0,0,0,0,12,13,0,10th
58,marussia,2014,16,0,0,0,0,9,12,2,9th
59,sauber,2018,21,0,0,0,0,6,6,48,8th
60,sauber,2017,20,0,0,0,0,8,11,5,10th
61,sauber,2016,21,0,0,0,0,9,14,2,10th
62,sauber,2015,19,0,0,0,0,5,8,36,8th
63,sauber,2014,19,0,0,0,0,11,9,0,10th
64,caterham,2014,17,0,0,0,0,11,14,0,11th
65,haas,2023,20,0,0,0,0,7,4,12,10th
66,haas,2022,22,0,0,0,0,5,5,37,8th
67,haas,2021,22,0,0,0,0,12,14,0,10th
68,haas,2020,17,0,0,0,0,9,13,3,9th
69,haas,2019,21,0,0,0,1,6,5,28,9th
70,haas,2018,21,0,0,0,1,4,5,93,5th
71,haas,2017,20,0,0,0,0,6,6,47,8th
72,haas,2016,21,0,0,0,0,5,7,29,8th
73,bwt-racing-point-f1-team,2020,17,1,4,1,0,1,1,195,4th
74,bwt-racing-point-f1-team,2019,21,0,0,0,0,4,5,73,7th
75,alfa-romeo,2023,20,0,0,0,1,8,5,16,9th
76,alfa-romeo,2022,22,0,0,0,1,5,5,55,6th
77,alfa-romeo,2021,22,0,0,0,0,8,7,13,9th
78,alfa-romeo,2020,17,0,0,0,0,9,8,8,8th
79,alfa-romeo,2019,21,0,0,0,0,4,5,57,8th
80,scuderia-alphatauri-honda,2023,20,0,0,0,1,7,4,21,8th
81,scuderia-alphatauri-honda,2022,22,0,0,0,0,5,5,35,9th
82,scuderia-alphatauri-honda,2021,22,0,1,0,1,3,2,142,6th
83,scuderia-alphatauri-honda,2020,17,1,1,0,0,1,4,107,7th
84,alpine,2023,20,0,2,0,0,3,3,108,6th
85,alpine,2022,22,0,0,0,0,4,2,173,4th
86,alpine,2021,22,1,2,0,0,1,3,155,5th
87,aston-martin,2023,20,0,8,0,1,2,2,261,5th
88,aston-martin,2022,22,0,0,0,0,6,5,55,7th
89,aston-martin,2021,22,0,1,0,0,2,5,77,7th
