,Year,Teams
0,2014,Mercedes
1,2014,Red Bull Racing Renault
2,2014,Williams Mercedes
3,2014,Ferrari
4,2014,McLaren Mercedes
5,2014,Force India Mercedes
6,2014,STR Renault
7,2014,Lotus Renault
8,2014,Marussia Ferrari
9,2014,Sauber Ferrari
10,2014,Caterham Renault
11,2015,Mercedes
12,2015,Ferrari
13,2015,Williams Mercedes
14,2015,Red Bull Racing Renault
15,2015,Force India Mercedes
16,2015,Lotus Mercedes
17,2015,STR Renault
18,2015,Sauber Ferrari
19,2015,McLaren Honda
20,2015,Marussia Ferrari
21,2016,Mercedes
22,2016,Red Bull Racing TAG Heuer
23,2016,Ferrari
24,2016,Force India Mercedes
25,2016,Williams Mercedes
26,2016,McLaren Honda
27,2016,Toro Rosso Ferrari
28,2016,Haas Ferrari
29,2016,Renault
30,2016,Sauber Ferrari
31,2016,MRT Mercedes
32,2017,Mercedes
33,2017,Ferrari
34,2017,Red Bull Racing TAG Heuer
35,2017,Force India Mercedes
36,2017,Williams Mercedes
37,2017,Renault
38,2017,Toro Rosso
39,2017,Haas Ferrari
40,2017,McLaren Honda
41,2017,Sauber Ferrari
42,2018,Mercedes
43,2018,Ferrari
44,2018,Red Bull Racing TAG Heuer
45,2018,Renault
46,2018,Haas Ferrari
47,2018,McLaren Renault
48,2018,Force India Mercedes
49,2018,Sauber Ferrari
50,2018,Scuderia Toro Rosso Honda
51,2018,Williams Mercedes
52,2018,Force India Sahara
53,2019,Mercedes
54,2019,Ferrari
55,2019,Red Bull Racing Honda
56,2019,McLaren Renault
57,2019,Renault
58,2019,Scuderia Toro Rosso Honda
59,2019,Racing Point BWT Mercedes
60,2019,Alfa Romeo Racing Ferrari
61,2019,Haas Ferrari
62,2019,Williams Mercedes
63,2020,Mercedes
64,2020,Red Bull Racing Honda
65,2020,McLaren Renault
66,2020,Racing Point BWT Mercedes
67,2020,Renault
68,2020,Ferrari
69,2020,AlphaTauri Honda
70,2020,Alfa Romeo Racing Ferrari
71,2020,Haas Ferrari
72,2020,Williams Mercedes
73,2021,Mercedes
74,2021,Red Bull Racing Honda
75,2021,Ferrari
76,2021,McLaren Mercedes
77,2021,Alpine Renault
78,2021,AlphaTauri Honda
79,2021,Aston Martin Mercedes
80,2021,Williams Mercedes
81,2021,Alfa Romeo Racing Ferrari
82,2021,Haas Ferrari
83,2022,Red Bull Racing RBPT
84,2022,Ferrari
85,2022,Mercedes
86,2022,Alpine Renault
87,2022,McLaren Mercedes
88,2022,Alfa Romeo Ferrari
89,2022,Aston Martin Aramco Mercedes
90,2022,Haas Ferrari
91,2022,AlphaTauri RBPT
92,2022,Williams Mercedes
93,2023,Red Bull Racing Honda RBPT
94,2023,Mercedes
95,2023,Ferrari
96,2023,McLaren Mercedes
97,2023,Aston Martin Aramco Mercedes
98,2023,Alpine Renault
99,2023,Williams Mercedes
100,2023,AlphaTauri Honda RBPT
101,2023,Alfa Romeo Ferrari
102,2023,Haas Ferrari
