,Year,Teams,Team Name
0,2014,Mercedes,mercedes
1,2014,Red Bull Racing Renault,red-bull-racing
2,2014,Williams Mercedes,williams
3,2014,Ferrari,ferrari-2
4,2014,McLaren Mercedes,mclaren
5,2014,Force India Mercedes,force-india
6,2014,STR Renault,str
7,2014,Lotus Renault,lotus-f1
8,2014,Marussia Ferrari,marussia
9,2014,Sauber Ferrari,sauber
10,2014,Caterham Renault,caterham
11,2015,Mercedes,mercedes
12,2015,Ferrari,ferrari-2
13,2015,Williams Mercedes,williams
14,2015,Red Bull Racing Renault,red-bull-racing
15,2015,Force India Mercedes,force-india
16,2015,Lotus Mercedes,lotus-f1
17,2015,STR Renault,str
18,2015,Sauber Ferrari,sauber
19,2015,McLaren Honda,mclaren
20,2015,Marussia Ferrari,marussia
21,2016,Mercedes,mercedes
22,2016,Red Bull Racing TAG Heuer,red-bull-racing
23,2016,Ferrari,ferrari-2
24,2016,Force India Mercedes,force-india
25,2016,Williams Mercedes,williams
26,2016,McLaren Honda,mclaren
27,2016,Toro Rosso Ferrari,toro
28,2016,Haas Ferrari,haas
29,2016,Renault,renault
30,2016,Sauber Ferrari,sauber
31,2016,MRT Mercedes,mrt
32,2017,Mercedes,mercedes
33,2017,Ferrari,ferrari-2
34,2017,Red Bull Racing TAG Heuer,red-bull-racing
35,2017,Force India Mercedes,force-india
36,2017,Williams Mercedes,williams
37,2017,Renault,renault
38,2017,Toro Rosso,toro
39,2017,Haas Ferrari,haas
40,2017,McLaren Honda,mclaren
41,2017,Sauber Ferrari,sauber
42,2018,Mercedes,mercedes
43,2018,Ferrari,ferrari-2
44,2018,Red Bull Racing TAG Heuer,red-bull-racing
45,2018,Renault,renault
46,2018,Haas Ferrari,haas
47,2018,McLaren Renault,mclaren
48,2018,Force India Mercedes,force-india
49,2018,Sauber Ferrari,sauber
50,2018,Scuderia Toro Rosso Honda,scuderia
51,2018,Williams Mercedes,williams
52,2018,Force India Sahara,force-india
53,2019,Mercedes,mercedes
54,2019,Ferrari,ferrari-2
55,2019,Red Bull Racing Honda,red-bull-racing
56,2019,McLaren Renault,mclaren
57,2019,Renault,renault
58,2019,Scuderia Toro Rosso Honda,scuderia
59,2019,Racing Point BWT Mercedes,bwt-racing-point-f1-team
60,2019,Alfa Romeo Racing Ferrari,alfa-romeo
61,2019,Haas Ferrari,haas
62,2019,Williams Mercedes,williams
63,2020,Mercedes,mercedes
64,2020,Red Bull Racing Honda,red-bull-racing
65,2020,McLaren Renault,mclaren
66,2020,Racing Point BWT Mercedes,bwt-racing-point-f1-team
67,2020,Renault,renault
68,2020,Ferrari,ferrari-2
69,2020,AlphaTauri Honda,scuderia-alphatauri-honda
70,2020,Alfa Romeo Racing Ferrari,alfa-romeo
71,2020,Haas Ferrari,haas
72,2020,Williams Mercedes,williams
73,2021,Mercedes,mercedes
74,2021,Red Bull Racing Honda,red-bull-racing
75,2021,Ferrari,ferrari-2
76,2021,McLaren Mercedes,mclaren
77,2021,Alpine Renault,alpine
78,2021,AlphaTauri Honda,scuderia-alphatauri-honda
79,2021,Aston Martin Mercedes,aston-martin
80,2021,Williams Mercedes,williams
81,2021,Alfa Romeo Racing Ferrari,alfa-romeo
82,2021,Haas Ferrari,haas
83,2022,Red Bull Racing RBPT,red-bull-racing
84,2022,Ferrari,ferrari-2
85,2022,Mercedes,mercedes
86,2022,Alpine Renault,alpine
87,2022,McLaren Mercedes,mclaren
88,2022,Alfa Romeo Ferrari,alfa-romeo
89,2022,Aston Martin Aramco Mercedes,aston-martin
90,2022,Haas Ferrari,haas
91,2022,AlphaTauri RBPT,scuderia-alphatauri-honda
92,2022,Williams Mercedes,williams
93,2023,Red Bull Racing Honda RBPT,red-bull-racing
94,2023,Mercedes,mercedes
95,2023,Ferrari,ferrari-2
96,2023,McLaren Mercedes,mclaren
97,2023,Aston Martin Aramco Mercedes,aston-martin
98,2023,Alpine Renault,alpine
99,2023,Williams Mercedes,williams
100,2023,AlphaTauri Honda RBPT,scuderia-alphatauri-honda
101,2023,Alfa Romeo Ferrari,alfa-romeo
102,2023,Haas Ferrari,haas
